"customer_id","first_name","last_name","company","city","age","country","phone_no"
15365,"andrew","goodman","Stewart-Flynn","Rowlandberg",45,"Macao","8965485100"
15366,"alvin","lane"," Proctor and Lawrence","Bethside",72,"Papua New Guinea","8715852152"
18471,"Jenna","harding larry","Bailey Group","Moniquemouth",68,"China","6974798642"
15978,"Fernando","Ford","Moss-Maxwell","Leeborough",38,"Macao","6357254791"
20646,"Kara","Woods","Mccarthy-Kelley","Port Jacksonland",47,"Nepal","9015290037"
15113,"Marissa","Gamble","Cherry and Sons","Webertown",50,"Sudan","9145313601"
16037,"Julie","Cooley","Yu, Norman and Sharp","West Sandra",35,"Japan","6114058432"
15041,"Lauren","Villa","French, Travis and Hensley","New Yolanda",43,"Fiji","8159921197"
20982,"Emily","Bryant","Moon, Strickland and Combs","East Normanchester",77,"Seychelles","5914741859"
20186,"Marie","Estrada","May Inc","Welchton",25,"United Arab Emirates","6553171905"
17020,"Nichole","Cannon","Rios and Sons","West Devon",53,"Burundi","7152414539"
17574,"Bernard","Ritter","Bradford and Sons","West Francisco",26,"Palau","6205946468"
17918,"Darryl","Archer","Kerr-Cherry","Holtfurt",47,"Uganda","9629841004"
16930,"Ryan","Li","Hooper, Cross and Holt","Batesville",30,"Liechtenstein","6519227257"
20356,"Vicki","Nunez","Leonard, Galvan and Blackburn","Barbaraborough",45,"Haiti","6211373240"
20628,"Sean","Townsend","Preston-Sosa","Velasquezberg",47,"Iran","9091735026"
15777,"Sophia","Mathis","Richard-Velasquez","Toddhaven",29,"Switzerland","6755132720"
17068,"Helen","Potts","Rangel, Livingston and Patel","Douglasland",45,"Seychelles","7378801195"
19700,"Joann","Finley","Harvey PLC","Barrettshire",64,"Montserrat","8233582872"
16894,"Thomas","Walsh","Best-Thomas","Roblesport",66,"Kiribati","7803757029"
19003,"Cristina","Lam","Watts-Allison","West Jocelynfort",65,"Korea","5632979613"
16377,"Vicki","Heath","Cherry, Schultz and Ruiz","Port Cameronbury",39,"Bangladesh","9796674799"
16370,"Glenn","Wang","Warner-Hodge","West Rachael",42,"Gabon","7033482134"
16534,"Darius","Benitez","Giles LLC","Mejiashire",23,"Jersey","9515080880"
16563,"Xavier","Cruz","Wiley Ltd","Mindyborough",66,"Latvia","5859000095"
19616,"Douglas","Galloway","Duffy Inc","Eileenbury",40,"Mongolia","9686483841"
18856,"Phyllis","Becker","Oneal and Sons","East Andre",53,"Bouvet Island","9695356745"
18220,"Ebony","Murphy","Barry-Martinez","Atkinsfurt",55,"Vanuatu","6495112989"
19073,"Tyler","Stevenson","Burns and Sons","North Joannashire",46,"Sri Lanka","7085073908"
19020,"Cesar","Bernard","Potter-Ho","Mccormickville",36,"Iraq","7812318269"
20048,"Darrell","Santos","Boone-Dawson","Lake Dwayne",68,"Liechtenstein","6507833770"
17076,"Amanda","Santiago","Roberts-Heath","Benjaminchester",75,"United Arab Emirates","6632126456"
16906,"Marcus","Mcdonald","Hays-Howell","East Brad",64,"Azerbaijan","8217469480"
19604,"Lauren","Montes","Cohen-Copeland","Tonyville",56,"Armenia","7887371136"
19881,"Brent","Hinton","Petersen, Blackburn and Meyers","Tommyland",53,"Mexico","9703835185"
16430,"Jill","Mayo","Woodard, Haas and Mason","Port Carlside",32,"Cuba","5716719487"
18721,"Herbert","Byrd","Sheppard-Dougherty","Kimmouth",55,"South Georgia ","8014776341"
15377,"Don","Krueger","Cortez, Hester and Villegas","Melendezland",39,"Guinea","6565638243"
16056,"Cheryl","Gonzales","Walton-Drake","Pittmanmouth",49,"Kenya","5654715172"
17869,"Rickey","Mays","Escobar, Carrillo and Sloan","Hollandshire",68,"United States of America","9692205703"
19128,"Cassidy","Dillon","Coleman LLC","New Ebony",63,"Liechtenstein","6408368324"
17511,"Christina","Bautista","Lane Ltd","Lake Don",26,"Turks and Caicos Islands","9721117441"
18549,"Alexandra","Castro","Wall, Clay and Mcintosh","South Lynnton",25,"Swaziland","9070812478"
16027,"Krystal","Mendoza","Logan, Boyle and Villegas","West Henry",63,"Panama","6189175139"
19790,"Ivan","Schroeder","Peck, Nicholson and Knox","Port Grace",65,"Saint Pierre and Miquelon","7228453623"
20294,"Stephanie","Bradshaw","Tanner LLC","East Paulaville",60,"American Samoa","8245880083"
